fantasymath_id,position,fleaflicker_id,espn_id,yahoo_id
najee-harris,RB,16246,4241457.0,33412.0
eric-ebron,TE,10257,16732.0,27538.0
pat-freiermuth,TE,16293,4361411.0,33443.0
zach-gentry,TE,14863,3929924.0,31973.0
chase-claypool,WR,15597,4046692.0,32719.0
diontae-johnson,WR,14754,3932905.0,31898.0
rico-bussey,WR,16446,,33658.0
james-washington,WR,13808,3122449.0,31030.0
ray-mcloud,WR,13934,3728262.0,31157.0
juju-smith-schuster,WR,12950,3120348.0,30175.0
jason-myers,K,11124,2473037.0,28378.0
russell-wilson,QB,8598,14881.0,25785.0
rashaad-penny,RB,13772,3139925.0,30997.0
deejay-dallas,RB,15680,4240631.0,32814.0
travis-homer,RB,14810,4037457.0,32036.0
chris-carson,RB,13141,3919596.0,30362.0
gerald-everett,TE,12972,3918639.0,30157.0
tyler-mabry,TE,15804,3916587.0,33286.0
will-dissly,TE,14475,3127292.0,31090.0
tyler-lockett,WR,11242,2577327.0,28457.0
john-ursua,WR,14876,3933064.0,32068.0
freddie-swain,WR,15681,4034950.0,32884.0
penny-hart,WR,15031,3917546.0,32293.0
dk-metcalf,WR,14706,4047650.0,31896.0
cody-thompson,WR,15128,3126115.0,32367.0
dwayne-eskridge,WR,16324,4043016.0,
kyle-juszczyk,RB,9410,16002.0,26753.0
robbie-gould,K,2882,9354.0,7520.0
jimmy-garoppolo,QB,10311,16760.0,27590.0
trey-lance,QB,16259,4383351.0,33391.0
elijah-mitchell-rb,RB,13728,4241555.0,
raheem-mostert,RB,11455,2576414.0,28654.0
jamycal-hasty,RB,15936,3928925.0,33199.0
jordan-matthews,TE,10318,16763.0,27570.0
george-kittle,TE,13023,3040151.0,30259.0
mohamed-sanu,WR,8432,14922.0,25793.0
deebo-samuel,WR,14702,3126486.0,31868.0
brandon-aiyuk,WR,15531,4360438.0,32695.0
trent-sherfield,WR,14106,3122168.0,31320.0
ryan-succop,K,6293,12731.0,9520.0
ryan-griffin-qb,QB,9458,16140.0,26949.0
drew-stanton,QB,4901,10487.0,8297.0
tom-brady,QB,309,2330.0,5228.0
ronald-jones,RB,13785,3912550.0,31008.0
giovani-bernard,RB,9341,15826.0,26660.0
leonard-fournette,RB,12920,3115364.0,30117.0
rob-gronkowski,TE,6611,13229.0,24017.0
jaydon-mickens,WR,12745,2978308.0,29978.0
chris-godwin,WR,12926,3116165.0,30197.0
antonio-brown,WR,6660,13934.0,24171.0
tyler-johnson,WR,15729,2310331.0,32831.0
mike-evans,WR,10252,16737.0,27535.0
michael-badgley,K,14050,3123052.0,31366.0
ryan-tannehill,QB,8514,14876.0,25718.0
jeremy-mcnichols,RB,12999,3127586.0,30275.0
khari-blasingame,RB,15091,3122154.0,32140.0
derrick-henry,RB,12042,3043078.0,29279.0
mekhi-sargent,RB,16773,4379504.0,33839.0
geoff-swaim,TE,11287,3046704.0,28634.0
anthony-firkser,TE,13415,3049698.0,30571.0
rashard-davis,WR,13715,3049329.0,30940.0
julio-jones,WR,7372,13982.0,24793.0
chester-rogers,WR,12459,2983209.0,29609.0
aj-brown,WR,14694,4047646.0,31883.0
nick-westbrook,WR,16192,3929785.0,33348.0
dustin-hopkins,K,9416,15965.0,26800.0
taylor-heinicke,QB,11615,2565969.0,28839.0
ryan-fitzpatrick,QB,3011,8664.0,7426.0
jd-mckissic,RB,12572,2572861.0,29650.0
antonio-gibson,RB,15591,4360294.0,32736.0
jaret-patterson,RB,16630,4362452.0,33706.0
logan-thomas,TE,10353,16813.0,27648.0
tyrone-swoopes,TE,13503,3046705.0,30763.0
deandre-carter,WR,11603,2580216.0,28947.0
